phase fields,pareto front,leaf,mat2vec
Br Mg Si Sr     ,2,0.674,0.72
F Mg Ta Y       ,2,0.676,0.74
B Cl La Mg      ,2,0.687,0.725
Br Mg P Sr      ,2,0.694,0.789
B Br Mg Zr      ,2,0.701,0.792
Br La Mg Zr     ,2,0.706,0.789
Br Mg Sr Y      ,2,0.725,0.766
I Mg P Ta       ,2,0.726,0.723
B F Mg Zr       ,2,0.731,0.713
B I Mg Sr       ,2,0.735,0.773
I La Mg Sr      ,2,0.74,0.771
B Br Ca Mg      ,2,0.745,0.815
Br Ca La Mg     ,2,0.75,0.812
B F La Mg       ,2,0.765,0.819
B Ca F Mg       ,2,0.775,0.736
B Br Mg Si      ,2,0.779,0.728
Ca F La Mg      ,2,0.78,0.734
Br La Mg Si     ,2,0.785,0.725
B Br Mg P       ,2,0.799,0.797
Br La Mg P      ,2,0.804,0.795
B Br Mg Y       ,2,0.829,0.774
B F Mg P        ,2,0.829,0.718
Br La Mg Y      ,2,0.834,0.772
F La Mg P       ,2,0.834,0.716
B I La Mg       ,2,0.844,0.778
Br Li Mg Ta     ,3,0.196,1.0
F Li Mg Ta      ,3,0.232,0.925
Br Li Mg Sr     ,3,0.289,0.95
I Li Mg Ta      ,3,0.327,0.886
B Br Li Mg      ,3,0.41,0.957
Br La Li Mg     ,3,0.416,0.955
Br Mg Sr Ta     ,3,0.424,0.934
B Br Mg Ta      ,3,0.539,0.941
Br La Mg Ta     ,3,0.544,0.939
B Br Mg Sr      ,3,0.622,0.891
Br La Mg Sr     ,3,0.627,0.888
B Br La Mg      ,3,0.735,0.896
